p,rep,level,eig_idx,method,pop_eig,sample_eig
10,37,E,1,REML,1,1.136836861
10,37,E,2,REML,1,1.121596258
10,37,E,3,REML,1,1.084285868
10,37,E,4,REML,1,1.064825895
10,37,E,5,REML,1,1.010685565
10,38,A,1,REML,1,2.925782467
10,38,A,2,REML,1,1.767762464
10,38,A,3,REML,1,1.69688759
10,38,A,4,REML,1,1.389575725
10,38,A,5,REML,1,1.259749745
10,38,B,1,REML,4,5.502230214
10,38,B,2,REML,4,4.988722105
10,38,B,3,REML,4,4.702011713
10,38,B,4,REML,4,4.56570704
10,38,B,5,REML,4,4.369951342
10,38,E,1,REML,1,1.189768016
10,38,E,2,REML,1,1.101923222
10,38,E,3,REML,1,1.077882501
10,38,E,4,REML,1,1.054729571
10,38,E,5,REML,1,1.028477423
10,39,A,1,REML,1,2.019954082
10,39,A,2,REML,1,1.720481308
10,39,A,3,REML,1,1.615473343
10,39,A,4,REML,1,1.480639831
10,39,A,5,REML,1,0.956992714
10,39,B,1,REML,4,5.286226136
10,39,B,2,REML,4,5.258054196
10,39,B,3,REML,4,4.991112856
10,39,B,4,REML,4,4.311457552
10,39,B,5,REML,4,4.25037446
10,39,E,1,REML,1,1.120611858
10,39,E,2,REML,1,1.108404999
10,39,E,3,REML,1,1.074585184
10,39,E,4,REML,1,1.026545114
10,39,E,5,REML,1,0.995376489
10,40,A,1,REML,1,2.976177973
10,40,A,2,REML,1,1.792696987
10,40,A,3,REML,1,1.51264501
10,40,A,4,REML,1,1.392559824
10,40,A,5,REML,1,1.256706631
10,40,B,1,REML,4,5.950211543
10,40,B,2,REML,4,5.200907091
10,40,B,3,REML,4,4.97280052
10,40,B,4,REML,4,4.271772243
10,40,B,5,REML,4,4.124269595
10,40,E,1,REML,1,1.149093444
10,40,E,2,REML,1,1.113440885
10,40,E,3,REML,1,1.069818918
10,40,E,4,REML,1,1.011575919
10,40,E,5,REML,1,0.99858239
10,41,A,1,REML,1,2.487536082
10,41,A,2,REML,1,2.197385119
10,41,A,3,REML,1,1.653992787
10,41,A,4,REML,1,1.499152303
10,41,A,5,REML,1,1.2221901
10,41,B,1,REML,4,5.646519267
10,41,B,2,REML,4,4.934082973
10,41,B,3,REML,4,4.506986384
10,41,B,4,REML,4,4.312864354
10,41,B,5,REML,4,3.945896942
10,41,E,1,REML,1,1.207308308
10,41,E,2,REML,1,1.138348345
10,41,E,3,REML,1,1.103764146
10,41,E,4,REML,1,1.039713004
10,41,E,5,REML,1,1.026135047
10,42,A,1,REML,1,2.499044796
10,42,A,2,REML,1,2.291509697
10,42,A,3,REML,1,2.111956084
10,42,A,4,REML,1,1.756291069
10,42,A,5,REML,1,1.33336224
10,42,B,1,REML,4,5.253316917
10,42,B,2,REML,4,4.872007808
10,42,B,3,REML,4,4.561747824
10,42,B,4,REML,4,4.310450149
10,42,B,5,REML,4,4.172398275
10,42,E,1,REML,1,1.149395679
10,42,E,2,REML,1,1.083919427
10,42,E,3,REML,1,1.052109268
10,42,E,4,REML,1,1.032147407
10,42,E,5,REML,1,0.991122797
10,43,A,1,REML,1,2.542754667
10,43,A,2,REML,1,1.754672892
10,43,A,3,REML,1,1.55951222
10,43,A,4,REML,1,1.293663211
10,43,A,5,REML,1,0.904262495
10,43,B,1,REML,4,5.268741725
10,43,B,2,REML,4,4.899813906
10,43,B,3,REML,4,4.639513916
10,43,B,4,REML,4,4.164847781
10,43,B,5,REML,4,3.920341392
10,43,E,1,REML,1,1.148624625
10,43,E,2,REML,1,1.123632108
10,43,E,3,REML,1,1.069038328
10,43,E,4,REML,1,1.052200259
10,43,E,5,REML,1,1.019375057
10,44,A,1,REML,1,2.143944122
10,44,A,2,REML,1,1.805081587
10,44,A,3,REML,1,1.576860427
10,44,A,4,REML,1,1.341508793
10,44,A,5,REML,1,0.980452947
10,44,B,1,REML,4,5.797543545
10,44,B,2,REML,4,5.253312864
10,44,B,3,REML,4,5.036546766
10,44,B,4,REML,4,4.392962575
10,44,B,5,REML,4,4.215155462
10,44,E,1,REML,1,1.195492425
10,44,E,2,REML,1,1.135846556
10,44,E,3,REML,1,1.089205862
10,44,E,4,REML,1,1.068356439
10,44,E,5,REML,1,1.02055441
10,45,A,1,REML,1,2.680585684
10,45,A,2,REML,1,2.058769389
10,45,A,3,REML,1,1.855097949
10,45,A,4,REML,1,1.163557683
10,45,A,5,REML,1,1.041629364
10,45,B,1,REML,4,6.368113044
10,45,B,2,REML,4,5.136360766
10,45,B,3,REML,4,4.757752055
10,45,B,4,REML,4,4.352346529
10,45,B,5,REML,4,4.038442598
10,45,E,1,REML,1,1.159796643
10,45,E,2,REML,1,1.107351077
10,45,E,3,REML,1,1.101127889
10,45,E,4,REML,1,1.055155953
10,45,E,5,REML,1,0.990423279
10,46,A,1,REML,1,2.513531518
10,46,A,2,REML,1,2.268938888
10,46,A,3,REML,1,1.678132211
10,46,A,4,REML,1,1.368284749
10,46,A,5,REML,1,1.192056976
10,46,B,1,REML,4,5.528311357
10,46,B,2,REML,4,5.102221413
10,46,B,3,REML,4,4.599820633
10,46,B,4,REML,4,4.354589604
10,46,B,5,REML,4,3.84761037
10,46,E,1,REML,1,1.143012428
10,46,E,2,REML,1,1.128418314
10,46,E,3,REML,1,1.064954015
10,46,E,4,REML,1,1.046466478
10,46,E,5,REML,1,1.006842439
10,47,A,1,REML,1,2.905073041
10,47,A,2,REML,1,2.211410161
10,47,A,3,REML,1,1.924481183
10,47,A,4,REML,1,1.635973267
10,47,A,5,REML,1,1.119941682
10,47,B,1,REML,4,5.969467067
10,47,B,2,REML,4,5.249786928
10,47,B,3,REML,4,5.069066598
10,47,B,4,REML,4,4.25152235
10,47,B,5,REML,4,3.759684857
10,47,E,1,REML,1,1.172564603
10,47,E,2,REML,1,1.148838316
10,47,E,3,REML,1,1.102785666
10,47,E,4,REML,1,1.058693699
10,47,E,5,REML,1,1.014350361
10,48,A,1,REML,1,2.272904127
10,48,A,2,REML,1,2.002019074
10,48,A,3,REML,1,1.630862178
10,48,A,4,REML,1,1.497649638
10,48,A,5,REML,1,1.131982615
10,48,B,1,REML,4,5.17591236
10,48,B,2,REML,4,4.775400938
10,48,B,3,REML,4,4.607784668
10,48,B,4,REML,4,4.404853401
10,48,B,5,REML,4,3.825816977
10,48,E,1,REML,1,1.146941603
10,48,E,2,REML,1,1.095932419
10,48,E,3,REML,1,1.067485814
