p,rep,level,eig_idx,method,pop_eig,sample_eig
10,20,A,2,MANOVA,1,1.148901517
10,20,A,3,MANOVA,1,1.080053581
10,20,A,4,MANOVA,1,1.025453527
10,20,A,5,MANOVA,1,0.680105336
10,20,B,1,MANOVA,4,4.463537721
10,20,B,2,MANOVA,4,4.381711864
10,20,B,3,MANOVA,4,3.598264923
10,20,B,4,MANOVA,4,3.071724064
10,20,B,5,MANOVA,4,0.033298664
10,20,E,1,MANOVA,1,1.138503611
10,20,E,2,MANOVA,1,1.095116027
10,20,E,3,MANOVA,1,1.086643003
10,20,E,4,MANOVA,1,1.043830148
10,20,E,5,MANOVA,1,1.015473031
10,20,A,1,REML,1,1.534585736
10,20,A,2,REML,1,1.152962449
10,20,A,3,REML,1,1.084341999
10,20,A,4,REML,1,1.030203046
10,20,A,5,REML,1,0.671549391
10,20,B,1,REML,4,4.358229621
10,20,B,2,REML,4,4.126916412
10,20,B,3,REML,4,3.460393936
10,20,B,4,REML,4,3.062987024
10,20,B,5,REML,4,0.033049649
10,20,E,1,REML,1,1.136454439
10,20,E,2,REML,1,1.092748335
10,20,E,3,REML,1,1.070793862
10,20,E,4,REML,1,1.031933758
10,20,E,5,REML,1,1.00970503
10,21,A,1,MANOVA,1,1.190408716
10,21,A,2,MANOVA,1,1.064064489
10,21,A,3,MANOVA,1,0.945213826
10,21,A,4,MANOVA,1,0.824257078
10,21,A,5,MANOVA,1,0.755554065
10,21,B,1,MANOVA,4,5.137409954
10,21,B,2,MANOVA,4,4.254295491
10,21,B,3,MANOVA,4,3.996620448
10,21,B,4,MANOVA,4,3.416506961
10,21,B,5,MANOVA,4,0.037895525
10,21,E,1,MANOVA,1,1.178660912
10,21,E,2,MANOVA,1,1.09594566
10,21,E,3,MANOVA,1,1.075468775
10,21,E,4,MANOVA,1,1.036196107
10,21,E,5,MANOVA,1,1.02079328
10,21,A,1,REML,1,1.211948349
10,21,A,2,REML,1,1.070197929
10,21,A,3,REML,1,0.943964309
10,21,A,4,REML,1,0.820998942
10,21,A,5,REML,1,0.753862642
